key,value
vendors_source_url,https://finder.educationfreedom.texas.gov/data/tx/vendors.json
filter_options_url,https://finder.educationfreedom.texas.gov/data/tx/filter-options.json
config_url,https://finder.educationfreedom.texas.gov/data/tx/config.js
retrieved_at_utc,2026-02-24T21:23:14.081402+00:00
record_count,2483
unique_counties,149
unique_regions,12
unique_cities,402
filter_options_json,"{""Enrichment"": [{""id"": ""specialty_enrichment_fitness"", ""display"": ""💪 Fitness"", ""value"": ""Enrichment: Fitness"", ""count"": 4}, {""id"": ""specialty_enrichment_theater"", ""display"": ""🎭 Theater"", ""value"": ""Enrichment: Theater"", ""count"": 1}, {""id"": ""specialty_enrichment_swim"", ""display"": ""🏊 Swim"", ""value"": ""Enrichment: Swim"", ""count"": 3}, {""id"": ""specialty_enrichment_science_stem"", ""display"": ""🔬 Science & STEM"", ""value"": ""Enrichment: Science & STEM"", ""count"": 11}, {""id"": ""specialty_enrichment_cooking"", ""display"": ""🧑‍🍳 Cooking"", ""value"": ""Enrichment: Cooking"", ""count"": 1}, {""id"": ""specialty_enrichment_technology"", ""display"": ""💻 Technology"", ""value"": ""Enrichment: Technology"", ""count"": 4}, {""id"": ""specialty_enrichment_life_skills_career_prep"", ""display"": ""🛠️ Life Skills & Career Prep"", ""value"": ""Enrichment: Life Skills & Career Prep"", ""count"": 9}, {""id"": ""specialty_enrichment_kits_subscriptions"", ""display"": ""📦 Kits & Subscriptions"", ""value"": ""Enrichment: Kits & Subscriptions"", ""count"": 9}, {""id"": ""specialty_enrichment_coding"", ""display"": ""🧑‍💻 Coding"", ""value"": ""Enrichment: Coding"", ""count"": 5}, {""id"": ""specialty_enrichment_outdoor_adventure"", ""display"": ""🌲 Outdoor & Adventure"", ""value"": ""Enrichment: Outdoor & Adventure"", ""count"": 3}, {""id"": ""specialty_enrichment_sports_pe"", ""display"": ""⚽ Sports & PE"", ""value"": ""Enrichment: Sports & PE"", ""count"": 3}, {""id"": ""specialty_enrichment_neurodivergent_focused"", ""display"": ""🌈 Neurodivergent-Focused"", ""value"": ""Enrichment: Neurodivergent-Focused"", ""count"": 16}, {""id"": ""specialty_enrichment_art"", ""display"": ""🎨 Art"", ""value"": ""Enrichment: Art"", ""count"": 5}], ""Tutoring"": [{""id"": ""specialty_tutoring_neurodivergent_focused"", ""display"": ""🌈 Neurodivergent-Focused"", ""value"": ""Tutoring: Neurodivergent-Focused"", ""count"": 31}, {""id"": ""specialty_tutoring_english_language_arts"", ""display"": ""📚 English/Language Arts"", ""value"": ""Tutoring: English/Language Arts"", ""count"": 139}, {""id"": ""specialty_tutoring_science"", ""display"": ""🔬 Science"", ""value"": ""Tutoring: Science"", ""count"": 63}, {""id"": ""specialty_tutoring_social_studies_humanities"", ""display"": ""📜 Social Studies/Humanities"", ""value"": ""Tutoring: Social Studies/Humanities"", ""count"": 52}, {""id"": ""specialty_tutoring_foreign_language"", ""display"": ""🌍 Foreign Language"", ""value"": ""Tutoring: Foreign Language"", ""count"": 32}, {""id"": ""specialty_tutoring_math"", ""display"": ""🔢 Math"", ""value"": ""Tutoring: Math"", ""count"": 152}], ""Therapy"": [{""id"": ""specialty_therapy_other_therapy"", ""display"": ""⭐ Other Therapy"", ""value"": ""Therapy: Other Therapy"", ""count"": 5}, {""id"": ""specialty_therapy_vision"", ""display"": ""👁️ Vision"", ""value"": ""Therapy: Vision"", ""count"": 1}, {""id"": ""specialty_therapy_occupational"", ""display"": ""🤲 Occupational"", ""value"": ""Therapy: Occupational"", ""count"": 54}, {""id"": ""specialty_therapy_adhd_executive_function"", ""display"": ""🧠 ADHD/Executive Function"", ""value"": ""Therapy: ADHD/Executive Function"", ""count"": 16}, {""id"": ""specialty_therapy_physical"", ""display"": ""🏃 Physical"", ""value"": ""Therapy: Physical"", ""count"": 25}, {""id"": ""specialty_therapy_dyslexia_dsygraphia"", ""display"": ""📚 Dyslexia/Dsygraphia"", ""value"": ""Therapy: Dyslexia/Dsygraphia"", ""count"": 33}, {""id"": ""specialty_therapy_behavioral"", ""display"": ""📋 Behavioral"", ""value"": ""Therapy: Behavioral"", ""count"": 58}, {""id"": ""specialty_therapy_music"", ""display"": ""🎶 Music"", ""value"": ""Therapy: Music"", ""count"": 3}, {""id"": ""specialty_therapy_autism_support"", ""display"": ""🧩 Autism Support"", ""value"": ""Therapy: Autism Support"", ""count"": 18}, {""id"": ""specialty_therapy_speech"", ""display"": ""🗣️ Speech"", ""value"": ""Therapy: Speech"", ""count"": 77}], ""Classes"": [{""id"": ""specialty_classes_foreign_language"", ""display"": ""🌍 Foreign Language"", ""value"": ""Classes: Foreign Language"", ""count"": 4}, {""id"": ""specialty_classes_neurodivergent_focused"", ""display"": ""🌈 Neurodivergent-Focused"", ""value"": ""Classes: Neurodivergent-Focused"", ""count"": 3}, {""id"": ""specialty_classes_social_studies"", ""display"": ""📜 Social Studies"", ""value"": ""Classes: Social Studies"", ""count"": 4}, {""id"": ""specialty_classes_english_language_arts"", ""display"": ""📚 English/Language Arts"", ""value"": ""Classes: English/Language Arts"", ""count"": 13}, {""id"": ""specialty_classes_science"", ""display"": ""🔬 Science"", ""value"": ""Classes: Science"", ""count"": 8}, {""id"": ""specialty_classes_math"", ""display"": ""🔢 Math"", ""value"": ""Classes: Math"", ""count"": 12}], ""Curriculum"": [{""id"": ""specialty_curriculum_books_workbooks"", ""display"": ""📚 Books & Workbooks"", ""value"": ""Curriculum: Books & Workbooks"", ""count"": 6}, {""id"": ""specialty_curriculum_english_language_arts"", ""display"": ""📝 English/Language Arts"", ""value"": ""Curriculum: English/Language Arts"", ""count"": 15}, {""id"": ""specialty_curriculum_neurodivergent_focused"", ""display"": ""🌈 Neurodivergent-Focused"", ""value"": ""Curriculum: Neurodivergent-Focused"", ""count"": 8}, {""id"": ""specialty_curriculum_self_paced_courses"", ""display"": ""⏰ Self-Paced Courses"", ""value"": ""Curriculum: Self-Paced Courses"", ""count"": 11}, {""id"": ""specialty_curriculum_math"", ""display"": ""🔢 Math"", ""value"": ""Curriculum: Math"", ""count"": 2}, {""id"": ""specialty_curriculum_complete_curriculum"", ""display"": ""📋 Complete Curriculum"", ""value"": ""Curriculum: Complete Curriculum"", ""count"": 2}, {""id"": ""specialty_curriculum_science"", ""display"": ""🔬 Science"", ""value"": ""Curriculum: Science"", ""count"": 4}, {""id"": ""specialty_curriculum_online_learning_platform"", ""display"": ""🖥️ Online Learning Platform"", ""value"": ""Curriculum: Online Learning Platform"", ""count"": 2}, {""id"": ""specialty_curriculum_arts"", ""display"": ""🎨 Arts"", ""value"": ""Curriculum: Arts"", ""count"": 2}, {""id"": ""specialty_curriculum_social_studies"", ""display"": ""📜 Social Studies"", ""value"": ""Curriculum: Social Studies"", ""count"": 1}, {""id"": ""specialty_curriculum_phonics"", ""display"": ""🔤 Phonics"", ""value"": ""Curriculum: Phonics"", ""count"": 3}, {""id"": ""specialty_curriculum_educational_software"", ""display"": ""💻 Educational Software"", ""value"": ""Curriculum: Educational Software"", ""count"": 3}], ""Supplies"": [{""id"": ""specialty_supplies_school_supplies"", ""display"": ""✏️ School Supplies"", ""value"": ""Supplies: School Supplies"", ""count"": 2}, {""id"": ""specialty_supplies_assistive_technology_"", ""display"": ""🧰 Assistive Technology "", ""value"": ""Supplies: Assistive Technology "", ""count"": 1}, {""id"": ""specialty_supplies_educational_app"", ""display"": ""📱 Educational App"", ""value"": ""Supplies: Educational App"", ""count"": 2}, {""id"": ""specialty_supplies_art_supplies"", ""display"": ""🎨 Art Supplies"", ""value"": ""Supplies: Art Supplies"", ""count"": 2}, {""id"": ""specialty_supplies_technology"", ""display"": ""💻 Technology"", ""value"": ""Supplies: Technology"", ""count"": 4}, {""id"": ""specialty_supplies_science_supplies"", ""display"": ""🔬 Science Supplies"", ""value"": ""Supplies: Science Supplies"", ""count"": 3}, {""id"": ""specialty_supplies_health_safety"", ""display"": ""🩹 Health & Safety"", ""value"": ""Supplies: Health & Safety"", ""count"": 3}, {""id"": ""specialty_supplies_manipulatives_aids"", ""display"": ""🧩 Manipulatives & Aids"", ""value"": ""Supplies: Manipulatives & Aids"", ""count"": 1}]}"
config_raw_length_chars,8869
