vendor_id,feature_category,feature_value
rec02A3QUWtTH4msz,academicFocusAreas,STEM/STEAM
rec02A3QUWtTH4msz,academicFocusAreas,Classical Education
rec02A3QUWtTH4msz,academicFocusAreas,Project-Based Learning
rec02A3QUWtTH4msz,supportResources,One-on-One Tutoring
rec02A3QUWtTH4msz,supportResources,Summer School Programs
rec02A3QUWtTH4msz,supportResources,After-School Academic Help
rec02A3QUWtTH4msz,cultureAndValues,Social-Emotional Learning
rec02A3QUWtTH4msz,cultureAndValues,Character Education
rec02A3QUWtTH4msz,extracurricularOfferings,After School Programs
rec02A3QUWtTH4msz,extracurricularOfferings,Field Trips & Travel Opportunities
rec02A3QUWtTH4msz,amenities,Small Class Sizes
rec02A3QUWtTH4msz,amenities,Meal Programs
rec02A3QUWtTH4msz,amenities,Uniforms/Dress Code
rec02A3QUWtTH4msz,amenities,Technology Access
rec02A3QUWtTH4msz,amenities,Multi-Age Classrooms
rec040XwIN6rdU09I,academicFocusAreas,STEM/STEAM
rec040XwIN6rdU09I,academicFocusAreas,Classical Education
rec040XwIN6rdU09I,supportResources,After-School Academic Help
rec040XwIN6rdU09I,supportResources,Summer School Programs
rec040XwIN6rdU09I,cultureAndValues,Community Service Focus
rec040XwIN6rdU09I,cultureAndValues,Social-Emotional Learning
rec040XwIN6rdU09I,cultureAndValues,Environmental/Outdoor Focus
rec040XwIN6rdU09I,cultureAndValues,Character Education
rec040XwIN6rdU09I,extracurricularOfferings,Sports Programs
rec040XwIN6rdU09I,extracurricularOfferings,Clubs & Activities
rec040XwIN6rdU09I,extracurricularOfferings,After School Programs
rec040XwIN6rdU09I,extracurricularOfferings,Before School Programs
rec040XwIN6rdU09I,extracurricularOfferings,Field Trips & Travel Opportunities
rec040XwIN6rdU09I,amenities,Transportation Services
rec040XwIN6rdU09I,amenities,Meal Programs
rec040XwIN6rdU09I,amenities,Small Class Sizes
rec040XwIN6rdU09I,amenities,Multi-Age Classrooms
rec040XwIN6rdU09I,amenities,Extended School Day/Year
rec05fCMHCinpVaog,academicFocusAreas,STEM/STEAM
rec05fCMHCinpVaog,academicFocusAreas,Advanced Placement (AP)
rec05fCMHCinpVaog,academicFocusAreas,College Prep
rec05fCMHCinpVaog,supportResources,Counseling Services
rec05fCMHCinpVaog,cultureAndValues,Religious Affiliation
rec05fCMHCinpVaog,cultureAndValues,Character Education
rec05fCMHCinpVaog,cultureAndValues,Community Service Focus
rec05fCMHCinpVaog,cultureAndValues,Social-Emotional Learning
rec05fCMHCinpVaog,extracurricularOfferings,"Arts Programs (Visual, Music, Drama, Dance)"
rec05fCMHCinpVaog,extracurricularOfferings,Sports Programs
rec05fCMHCinpVaog,extracurricularOfferings,Robotics/Coding
rec05fCMHCinpVaog,extracurricularOfferings,Clubs & Activities
rec05fCMHCinpVaog,extracurricularOfferings,Field Trips & Travel Opportunities
rec05fCMHCinpVaog,extracurricularOfferings,After School Programs
rec05fCMHCinpVaog,amenities,Meal Programs
rec05fCMHCinpVaog,amenities,Technology Access
rec05fCMHCinpVaog,amenities,"Great Facilities (gym, auditorium, etc.)"
rec05fCMHCinpVaog,amenities,Small Class Sizes
