field_path,value_types,non_null_count,list_item_count
vendor,dict,2483,0
vendor.additionalLocations,NoneType,0,0
vendor.address,dict,2483,0
vendor.address.city,str,2483,0
vendor.address.county,str,2482,0
vendor.address.region,str,2446,0
vendor.address.state,str,2483,0
vendor.address.street,str,2483,0
vendor.address.zipcode,str,2483,0
vendor.bonusTagsRaw,list,2483,899
vendor.contact,dict,2483,0
vendor.contact.email,str,2483,0
vendor.contact.phone,str,2483,0
vendor.contact.website,str,2177,0
vendor.costOptions,str,2079,0
vendor.curricularClassification,NoneType,0,0
vendor.deleted_at,NoneType,0,0
vendor.description,"NoneType,str",897,0
vendor.directPayMarketplace,NoneType,0,0
vendor.displayGradeRange,str,2079,0
vendor.id,str,2483,0
vendor.isElementary,"NoneType,bool",2079,0
vendor.isHigh,"NoneType,bool",2009,0
vendor.isMiddle,"NoneType,bool",2012,0
vendor.isPreK,"NoneType,bool",1984,0
vendor.isProductionReady,bool,2483,0
vendor.location,dict,2483,0
vendor.location.lat,"NoneType,float",2474,0
vendor.location.lng,"NoneType,float",2474,0
vendor.maxGrade,int,2079,0
vendor.minGrade,int,2079,0
vendor.name,str,2483,0
vendor.pdsesStatus,"NoneType,str",404,0
vendor.price,NoneType,0,0
vendor.pricingModel,NoneType,0,0
vendor.pricingNotes,NoneType,0,0
vendor.schoolAttributes,"NoneType,dict",2081,0
vendor.schoolAttributes.academics,dict,2081,0
vendor.schoolAttributes.academics.attendanceRate,"NoneType,float,int",339,0
vendor.schoolAttributes.academics.graduationRate,"NoneType,float,int",259,0
vendor.schoolAttributes.academics.notableAchievements,"list,str",2081,0
vendor.schoolAttributes.academics.retentionRate,"NoneType,float,int",354,0
vendor.schoolAttributes.academics.studentGrowth,"NoneType,float,int",353,0
vendor.schoolAttributes.academics.studentTeacherRatio,"NoneType,int",365,0
vendor.schoolAttributes.features,dict,2081,0
vendor.schoolAttributes.features.academicFocusAreas,list,2081,980
vendor.schoolAttributes.features.amenities,list,2081,2517
vendor.schoolAttributes.features.cultureAndValues,list,2081,1424
vendor.schoolAttributes.features.extracurricularOfferings,list,2081,2051
vendor.schoolAttributes.features.supportResources,list,2081,1186
vendor.schoolAttributes.financial,dict,2081,0
vendor.schoolAttributes.financial.financialAccessibility,list,2081,676
vendor.schoolAttributes.financial.maxAnnualTuition,"NoneType,float,int",404,0
vendor.schoolAttributes.financial.minAnnualTuition,"NoneType,float,int",398,0
vendor.serviceType,list,2483,2519
vendor.specialties,dict,2483,0
vendor.specialties.classes,list,2483,45
vendor.specialties.curriculum,list,2483,49
vendor.specialties.enrichment,list,2483,75
vendor.specialties.supplies,list,2483,15
vendor.specialties.therapy,list,2483,276
vendor.specialties.tutoring,list,2483,439
vendor.subjectsTaught,list,2483,0
vendor.type,str,2081,0
vendor.vendorType,str,2483,0
vendor.vendorTypes,list,2483,2568
