vendor_id,service_type
rec02A3QUWtTH4msz,local
rec03MGMU2Ggp3mgN,local
rec040XwIN6rdU09I,local
rec05fCMHCinpVaog,local
rec05zYl59hMQkZEF,local
rec06uxlPbMdRMohy,local
rec08VvPB8VROOQBI,local
rec0AcUbQ2KY2FXv6,local
rec0B7apVyNdg5RW5,local
rec0Ih6vIYmAEtNd1,local
rec0KOtPRdDMj1vKt,local
rec0LBIaWrR9tp3f3,local
rec0LFMaeIcVkxL7h,local
rec0LP3kPSXc8bvWu,local
rec0N5OOsmyfC5WCI,local
rec0QpiOMNxuBfxvF,local
rec0RW85xJyDv86wr,local
rec0YoQyX6CEiTuKN,local
rec0ZYdzrsI2jMPkv,local
rec0b00SnG1QGtTF5,local
rec0bKs86ZFJ6q6UD,local
rec0fUbjtxKJi9IuF,local
rec0fumDhVcXXnHj9,local
rec0hanAG3TUNX9s0,local
rec0jEmymh16i3Cb2,local
rec0kXwBurkouZpKW,local
rec0n3cf8UoWiFVyD,local
rec0nIfa3Uafcs6A5,local
rec0qdzBx3M3n0WXc,local
rec0teErbvaQ0loRA,local
rec0uQ1a8LUec3caz,local
rec0zNBSPa55fGXr1,local
rec0zmu32f2ykhcDY,local
rec12SU3KqseTrfNw,local
rec12yux4qX7mPRuZ,local
rec1AonKqMLanSbDk,local
rec1Be84y3bDcOt5m,local
rec1CHQSxx3sPZWEh,online
rec1Dlv7ui5TeNJN2,local
rec1Fl0hiVkbAvR8W,local
rec1FuTiDhTtkvSk0,local
rec1I8ZBKD800gZEz,local
rec1IW4n6FgkWsIAV,local
rec1IpHkzZMSuIIQd,local
rec1LWitmFPS5ftuV,local
rec1NeREO0KjGb8LY,local
rec1SRiAz6HA7yqEe,local
rec1SsbCztougDyH9,local
rec1SzAwSbhUXtC5A,local
rec1TjUMKEWkSfi0y,local
rec1WNQ2GGBwUHgU8,local
rec1XaYwfFrQ67COL,local
rec1aKBRA1cQsLldd,local
rec1aZywCZw9sqnHt,local
rec1dhnew0eTKAK66,local
rec1efrOXutNX7tcy,local
rec1iPvJyzwgDlUqT,local
rec1jYWTDTGDUpW5K,local
rec1jcdRDUprC5JKV,local
rec1k6rtOMGYN6cgR,local
rec1kXXvIucG7UkoA,local
rec1l2KWKoOYaoY5O,online
rec1n9IfovOddH7Vh,local
rec1s3wrheI48qqFM,local
rec1uf1VOjBVFUfQl,local
rec1vqoLFmWFN9nuz,local
rec1wRZSLSXxqXwEa,local
rec1xyFNED4ZXEum4,local
rec1zQu6tRRiJQPeq,local
rec23iOt8uZjwqige,local
rec25Uh5SH7jsRRT6,local
rec27J80NJd4GmWBO,local
rec2Atg9AQeWSrg4v,local
rec2DmSyyCxexs9mE,local
rec2F4cZ5d1D5UErB,local
rec2IqWRkonWk3nMU,local
rec2M8vYbfTEXsRMz,local
rec2OE1z3tMNHakmj,local
rec2OQ1vUup72e7NU,local
rec2TLoFhQdb8CeEF,local
rec2UbievNAIL0JLh,local
rec2bxfahcXxjeAiX,local
rec2ckggayWVb6Z3x,local
rec2csB12H2i2X0gt,local
rec2dFFcylNtNb9io,local
rec2iCn5MFHbFp2yU,local
rec2jOPUr93U8N0xf,local
rec2kD0e2uENWqxAp,local
rec2n7lyLfyfRoLZ7,local
rec2sLbBzhYiNn67E,local
rec2uNiGuKcmCKCeO,local
rec2v0xMwbCc5ZzDL,local
rec2vLCnw5ZdFQy3k,local
rec2x3xToEllwisqH,local
rec2yGjMEVHjpFDSF,local
rec2yHlMK0aagIXk1,local
rec2zivIrLDvMJRrO,local
rec30aCiZvXoFxVH4,local
rec31uiSmEUR44687,local
rec35jDr4bnMzkFzI,local
rec36Dulz3uGhynnH,local
rec36gswkz9393REx,local
rec3979FLMuIZgeOT,local
rec39ZvKfzpamRMsn,local
rec39bZ99GWUa9GCl,local
rec3CidfjgONQpk1a,local
rec3DsHo7uBBcw12R,local
rec3GQtaUnoPVf1f5,local
rec3GhDapNWwHNt8z,local
rec3HcjWV4pNfGrQC,local
rec3LREfvn91mEbB1,local
rec3MUhW8HtDW9WVj,local
rec3Mkt249EXJmJjF,local
rec3ONmCIOA21n0J6,local
rec3ONxuSLuvBz72F,local
rec3QO5qTcHm0JRKp,local
rec3VuQcc98V1nr7y,local
rec3XLv114esoUaLc,online
rec3ZwIGqVEedNMwX,local
rec3aQtN11neDotWW,local
rec3b2wSpaXUi2uxM,local
