vendor_id,specialty_category,specialty_value
rec0AcUbQ2KY2FXv6,tutoring,Math
rec0AcUbQ2KY2FXv6,tutoring,English/Language Arts
rec0AcUbQ2KY2FXv6,tutoring,Social Studies/Humanities
rec0AcUbQ2KY2FXv6,tutoring,Science
rec0RW85xJyDv86wr,tutoring,Math
rec0RW85xJyDv86wr,tutoring,English/Language Arts
rec0RW85xJyDv86wr,tutoring,Social Studies/Humanities
rec0RW85xJyDv86wr,tutoring,Science
rec0teErbvaQ0loRA,therapy,Occupational
rec0teErbvaQ0loRA,therapy,Physical
rec0teErbvaQ0loRA,therapy,Speech
rec1Be84y3bDcOt5m,tutoring,English/Language Arts
rec1I8ZBKD800gZEz,tutoring,Math
rec1IW4n6FgkWsIAV,enrichment,Neurodivergent-Focused
rec1SRiAz6HA7yqEe,therapy,Behavioral
rec1l2KWKoOYaoY5O,curriculum,English/Language Arts
rec1xyFNED4ZXEum4,therapy,Occupational
rec1xyFNED4ZXEum4,therapy,Behavioral
rec1xyFNED4ZXEum4,therapy,Speech
rec25Uh5SH7jsRRT6,therapy,Behavioral
rec2UbievNAIL0JLh,tutoring,Social Studies/Humanities
rec2UbievNAIL0JLh,tutoring,Science
rec2UbievNAIL0JLh,tutoring,English/Language Arts
rec2UbievNAIL0JLh,tutoring,Math
rec2UbievNAIL0JLh,tutoring,Foreign Language
rec2ckggayWVb6Z3x,tutoring,Math
rec2ckggayWVb6Z3x,tutoring,English/Language Arts
rec2ckggayWVb6Z3x,tutoring,Science
rec2csB12H2i2X0gt,therapy,Music
rec2x3xToEllwisqH,therapy,Dyslexia/Dsygraphia
rec2x3xToEllwisqH,therapy,Speech
rec35jDr4bnMzkFzI,therapy,Dyslexia/Dsygraphia
rec35jDr4bnMzkFzI,classes,Neurodivergent-Focused
rec35jDr4bnMzkFzI,classes,Science
rec35jDr4bnMzkFzI,classes,Math
rec35jDr4bnMzkFzI,classes,English/Language Arts
rec3XLv114esoUaLc,enrichment,Technology
rec3XLv114esoUaLc,curriculum,Self-Paced Courses
rec3XLv114esoUaLc,classes,English/Language Arts
rec3bXbAHP3oVTXDU,supplies,Health & Safety
rec3kbTPUHuK4YLJA,enrichment,Outdoor & Adventure
rec3kbTPUHuK4YLJA,enrichment,Neurodivergent-Focused
rec3kbTPUHuK4YLJA,enrichment,Life Skills & Career Prep
rec3tUtaDZuyfB8CH,tutoring,Social Studies/Humanities
rec3tUtaDZuyfB8CH,tutoring,Science
rec3tUtaDZuyfB8CH,tutoring,English/Language Arts
rec3tUtaDZuyfB8CH,tutoring,Math
rec3tUtaDZuyfB8CH,tutoring,Foreign Language
rec3vPbM4k1Nwclqa,therapy,Dyslexia/Dsygraphia
rec3vpOERxpLcCi6A,tutoring,Math
rec41jSgf66qakLWU,tutoring,Science
rec41jSgf66qakLWU,tutoring,Foreign Language
rec41jSgf66qakLWU,tutoring,English/Language Arts
rec41jSgf66qakLWU,tutoring,Math
rec41jSgf66qakLWU,tutoring,Social Studies/Humanities
rec4EUwtQDFKMQjJp,therapy,Occupational
rec4EUwtQDFKMQjJp,therapy,Speech
rec4eC0G7OI0JkIF8,tutoring,Social Studies/Humanities
rec4eC0G7OI0JkIF8,tutoring,Science
rec4eC0G7OI0JkIF8,tutoring,English/Language Arts
rec4eC0G7OI0JkIF8,tutoring,Math
rec4eC0G7OI0JkIF8,tutoring,Foreign Language
rec4jdNmPu5gSXqlQ,tutoring,Neurodivergent-Focused
rec4jdNmPu5gSXqlQ,tutoring,Math
rec4jdNmPu5gSXqlQ,tutoring,English/Language Arts
rec4lyeS2NjhHgk19,tutoring,Science
rec4lyeS2NjhHgk19,tutoring,English/Language Arts
rec4lyeS2NjhHgk19,tutoring,Social Studies/Humanities
rec4lyeS2NjhHgk19,tutoring,Math
rec4vYrne49NslQM1,tutoring,Math
rec4vYrne49NslQM1,tutoring,English/Language Arts
rec4vYrne49NslQM1,tutoring,Science
rec52DnEFtB78F9lp,tutoring,Social Studies/Humanities
rec52DnEFtB78F9lp,tutoring,Science
rec52DnEFtB78F9lp,tutoring,English/Language Arts
rec52DnEFtB78F9lp,tutoring,Math
rec52DnEFtB78F9lp,tutoring,Foreign Language
rec5SoU77WVMB5Jkc,therapy,Dyslexia/Dsygraphia
rec5SoU77WVMB5Jkc,curriculum,English/Language Arts
rec5V2WjX9nTWtifx,curriculum,Neurodivergent-Focused
rec5V2WjX9nTWtifx,tutoring,Neurodivergent-Focused
rec5V2WjX9nTWtifx,tutoring,Social Studies/Humanities
rec5V2WjX9nTWtifx,tutoring,Math
rec5V2WjX9nTWtifx,tutoring,English/Language Arts
rec5bvV8yvIKHwnNF,therapy,Occupational
rec5bvV8yvIKHwnNF,therapy,Physical
rec5bvV8yvIKHwnNF,therapy,Speech
rec5dcsKEbTM7tztO,therapy,Speech
rec5gLa4ssL9vqgPE,tutoring,Social Studies/Humanities
rec5gLa4ssL9vqgPE,tutoring,English/Language Arts
rec5gLa4ssL9vqgPE,tutoring,Science
rec5gLa4ssL9vqgPE,tutoring,Math
rec6Dbf6KaJSWzk9L,tutoring,Neurodivergent-Focused
rec6Dbf6KaJSWzk9L,tutoring,Math
rec6Dbf6KaJSWzk9L,tutoring,English/Language Arts
rec6Dbf6KaJSWzk9L,tutoring,Science
rec6Pjv0Lo5Fz9qSW,tutoring,Science
rec6Pjv0Lo5Fz9qSW,tutoring,Math
rec6Pjv0Lo5Fz9qSW,tutoring,Social Studies/Humanities
rec6Pjv0Lo5Fz9qSW,tutoring,English/Language Arts
rec6Pjv0Lo5Fz9qSW,tutoring,Foreign Language
rec6Q1I8PZCu2RNEb,tutoring,Math
rec6Y1TsKTzWZMi5f,tutoring,Science
rec6Y1TsKTzWZMi5f,tutoring,English/Language Arts
rec6Y1TsKTzWZMi5f,tutoring,Social Studies/Humanities
rec6Y1TsKTzWZMi5f,tutoring,Math
rec6cAi9oduhKtnoJ,therapy,Speech
rec6iRrkCiwt0nbwe,tutoring,Math
rec6iRrkCiwt0nbwe,tutoring,English/Language Arts
rec6iRrkCiwt0nbwe,tutoring,Social Studies/Humanities
rec6iRrkCiwt0nbwe,tutoring,Science
rec6yXV5eh9uncPyX,therapy,Occupational
rec6yXV5eh9uncPyX,therapy,Speech
rec6yXV5eh9uncPyX,therapy,Physical
rec70u2W2rPtBlU0q,tutoring,Neurodivergent-Focused
rec70u2W2rPtBlU0q,tutoring,English/Language Arts
rec7HIArdgibt39wS,curriculum,Math
rec7HIArdgibt39wS,curriculum,Self-Paced Courses
rec7tMWBaxEFx5jmW,therapy,Behavioral
rec8edHhLyf9zq4rn,tutoring,Math
rec8edHhLyf9zq4rn,tutoring,English/Language Arts
rec8edHhLyf9zq4rn,tutoring,Social Studies/Humanities
rec8edHhLyf9zq4rn,tutoring,Science
rec8ie2iBVuPor3vL,therapy,Dyslexia/Dsygraphia
rec8ie2iBVuPor3vL,tutoring,Math
rec8ie2iBVuPor3vL,tutoring,English/Language Arts
rec8q9A9YdLpOqSP0,therapy,Speech
rec8xsmdXHtlRqRFg,tutoring,Math
rec90yiCDCaphZ5Ct,therapy,Behavioral
rec9KJN5UE2pwJiy4,tutoring,Math
rec9OvjfwnhXp8wIu,enrichment,Life Skills & Career Prep
rec9OvjfwnhXp8wIu,enrichment,Sports & PE
rec9OvjfwnhXp8wIu,therapy,Behavioral
rec9OvjfwnhXp8wIu,tutoring,Neurodivergent-Focused
rec9OvjfwnhXp8wIu,tutoring,Math
rec9OvjfwnhXp8wIu,tutoring,Science
rec9OvjfwnhXp8wIu,tutoring,Social Studies/Humanities
rec9OvjfwnhXp8wIu,tutoring,Foreign Language
rec9OvjfwnhXp8wIu,tutoring,English/Language Arts
rec9htUXxIpBtAqGP,tutoring,Math
rec9htUXxIpBtAqGP,tutoring,English/Language Arts
rec9lGUokcQqVECPb,supplies,School Supplies
rec9lGUokcQqVECPb,supplies,Technology
recAE3T6gfEsMYBzY,tutoring,Math
recAH5CtLnRuRobhE,tutoring,Neurodivergent-Focused
recAH5CtLnRuRobhE,tutoring,Math
recAH5CtLnRuRobhE,tutoring,English/Language Arts
recAJYJBF3I2Hy6qQ,tutoring,Neurodivergent-Focused
recAJYJBF3I2Hy6qQ,tutoring,Math
recAJYJBF3I2Hy6qQ,tutoring,English/Language Arts
recAjxtHIO4BFjP1d,tutoring,Math
recAjxtHIO4BFjP1d,tutoring,English/Language Arts
recAuQrYSsJfHuqkq,tutoring,Math
recB9b9HRUF2kxFfv,therapy,Speech
recBE2sGIf3bLlQZH,tutoring,Math
recBVcb5ngomV3Ktj,curriculum,Math
recBVcb5ngomV3Ktj,curriculum,Science
recBWre76GzCTpP7d,therapy,Behavioral
recBWre76GzCTpP7d,therapy,Other Therapy
recBkGg1B0mxOVcRn,curriculum,English/Language Arts
recBkGg1B0mxOVcRn,tutoring,English/Language Arts
recBrdE7qLr8quQ9o,tutoring,Math
recBrdE7qLr8quQ9o,tutoring,English/Language Arts
recBtnrEIxtBx7vmx,enrichment,Art
recBtnrEIxtBx7vmx,enrichment,Science & STEM
recBtnrEIxtBx7vmx,curriculum,Complete Curriculum
recC1wspSYwa5NBCI,therapy,Speech
recCLl9HSPo5vGWe9,therapy,Speech
recCbcxy6MbI5kBgA,tutoring,Math
recCdONJk1EZFuNsa,tutoring,Math
recCdONJk1EZFuNsa,tutoring,English/Language Arts
recCwUx56zi7m8HH7,therapy,Behavioral
recD1FRlQNGsQa4dr,tutoring,Math
recD1FRlQNGsQa4dr,tutoring,English/Language Arts
recD1FRlQNGsQa4dr,tutoring,Science
recD4Wj8FNwJDoGEh,enrichment,Neurodivergent-Focused
recDEjk5wNyYtX1yS,enrichment,Neurodivergent-Focused
recDIjEZlsi7JakmI,therapy,Behavioral
recDbcAtZ8ZqkLpv7,tutoring,Math
recDbcAtZ8ZqkLpv7,tutoring,English/Language Arts
recDdjIVTBxn7WgqQ,supplies,Health & Safety
recDdjIVTBxn7WgqQ,supplies,Assistive Technology
recDp3ZV5dwdhSOIo,tutoring,Math
recDqjD17zglXo6Fu,therapy,Speech
recDx7PP9V1otZiUK,therapy,Speech
recDzH8xzoPoH2YOG,tutoring,Math
recDzH8xzoPoH2YOG,tutoring,English/Language Arts
recDzH8xzoPoH2YOG,tutoring,Science
recE2ii0eqTC8d4ON,therapy,Occupational
recE2ii0eqTC8d4ON,therapy,Physical
recE2ii0eqTC8d4ON,therapy,Behavioral
recE2ii0eqTC8d4ON,therapy,Speech
recEI0uWFZbhJUTAN,classes,Neurodivergent-Focused
recEI0uWFZbhJUTAN,classes,Social Studies
recEI0uWFZbhJUTAN,classes,Science
recEI0uWFZbhJUTAN,classes,English/Language Arts
recEI0uWFZbhJUTAN,classes,Math
recEhVnTpgU2t1hKb,therapy,Occupational
recEhVnTpgU2t1hKb,therapy,Speech
recEnTnarOWpEIdSJ,enrichment,Neurodivergent-Focused
recEnTnarOWpEIdSJ,enrichment,Life Skills & Career Prep
recEnTnarOWpEIdSJ,therapy,Occupational
recEnTnarOWpEIdSJ,curriculum,Neurodivergent-Focused
recEnTnarOWpEIdSJ,classes,Neurodivergent-Focused
recEsZNeYCXVvd2YI,tutoring,Math
recFCIEgO6TOOaDx8,therapy,Occupational
recFCIEgO6TOOaDx8,therapy,Physical
recFCIEgO6TOOaDx8,therapy,Speech
recFKmVoBkmoOSj8a,therapy,Occupational
recFKmVoBkmoOSj8a,therapy,Physical
recFKmVoBkmoOSj8a,therapy,Speech
recFbv19754s4sRIK,tutoring,Math
recFbv19754s4sRIK,tutoring,English/Language Arts
recFbv19754s4sRIK,tutoring,Social Studies/Humanities
recFbv19754s4sRIK,tutoring,Science
recFmtdixHX2Lgabn,therapy,Occupational
recFmtdixHX2Lgabn,therapy,Dyslexia/Dsygraphia
recFmtdixHX2Lgabn,therapy,Speech
recFwCIqxo7uekGGZ,therapy,Speech
recGI7kyz3GBFaXPb,tutoring,English/Language Arts
recGI7kyz3GBFaXPb,tutoring,Math
recGK84Ao63C1wS2j,therapy,Occupational
recGK84Ao63C1wS2j,therapy,Speech
recGbyv82EJYthehA,therapy,Behavioral
recGbyv82EJYthehA,therapy,Autism Support
recGbyv82EJYthehA,therapy,ADHD/Executive Function
recGf9xExAgrTaqM0,therapy,Behavioral
recGf9xExAgrTaqM0,therapy,ADHD/Executive Function
recGf9xExAgrTaqM0,therapy,Autism Support
recGfiQadJ6KlrPdG,tutoring,Social Studies/Humanities
recGfiQadJ6KlrPdG,tutoring,Science
recGfiQadJ6KlrPdG,tutoring,English/Language Arts
recGfiQadJ6KlrPdG,tutoring,Math
recGfiQadJ6KlrPdG,tutoring,Foreign Language
recH8aAfOcgJjztru,therapy,Physical
recH8aAfOcgJjztru,therapy,Speech
recHOO4YGQLv7hFj3,therapy,Behavioral
recHOO4YGQLv7hFj3,therapy,Autism Support
recHOO4YGQLv7hFj3,therapy,ADHD/Executive Function
recHcLJisnmu23pJg,therapy,Speech
recHjMZnXVb0FJ5TY,therapy,Occupational
recHjMZnXVb0FJ5TY,therapy,Physical
recHjMZnXVb0FJ5TY,therapy,Speech
recI20jHdWML9nAGk,tutoring,Math
recI5QNIMzimDKwTR,therapy,ADHD/Executive Function
recI5QNIMzimDKwTR,therapy,Other Therapy
recI5lUp7fT8qWCK9,tutoring,Math
recIAWRX96KVcnUlA,therapy,Occupational
recIAWRX96KVcnUlA,therapy,Physical
recIAWRX96KVcnUlA,therapy,Speech
recID7gIrVqYAjdCm,therapy,Occupational
recID7gIrVqYAjdCm,therapy,Speech
recIEUFKEKAYjxSKv,tutoring,English/Language Arts
recIEUFKEKAYjxSKv,tutoring,Math
recIEUFKEKAYjxSKv,tutoring,Neurodivergent-Focused
recIFA8qN4GZAESg3,tutoring,Math
recIFA8qN4GZAESg3,tutoring,English/Language Arts
recIFA8qN4GZAESg3,tutoring,Social Studies/Humanities
recIFA8qN4GZAESg3,tutoring,Science
recILdb7TTKYsXqE5,tutoring,Math
recILdb7TTKYsXqE5,tutoring,English/Language Arts
recIVPe3iBMIMH4P7,tutoring,English/Language Arts
recIgin7OxjuAErpw,tutoring,Math
recIgin7OxjuAErpw,tutoring,English/Language Arts
recIgin7OxjuAErpw,tutoring,Social Studies/Humanities
recIgin7OxjuAErpw,tutoring,Science
recIk06LVxVSStUg3,enrichment,Science & STEM
recIk06LVxVSStUg3,enrichment,Life Skills & Career Prep
recIk06LVxVSStUg3,enrichment,Coding
recIk06LVxVSStUg3,enrichment,Technology
recIk06LVxVSStUg3,classes,Foreign Language
recIk06LVxVSStUg3,classes,Social Studies
recIk06LVxVSStUg3,classes,English/Language Arts
recIk06LVxVSStUg3,classes,Science
recIk06LVxVSStUg3,classes,Math
recIpwnHjBy5Jipqd,therapy,Occupational
recIpwnHjBy5Jipqd,therapy,Dyslexia/Dsygraphia
recIpwnHjBy5Jipqd,therapy,Speech
recJ6p8fjxRFGEKal,tutoring,English/Language Arts
recJ6p8fjxRFGEKal,tutoring,Science
recJ6p8fjxRFGEKal,tutoring,Math
recJBJkV8eO3jkNi7,tutoring,English/Language Arts
recJBJkV8eO3jkNi7,tutoring,Math
recJBJkV8eO3jkNi7,tutoring,Neurodivergent-Focused
recJfQnxrkYE8wZMA,tutoring,Math
recJfQnxrkYE8wZMA,tutoring,English/Language Arts
recJfQnxrkYE8wZMA,tutoring,Science
recJi2LKNNMCpUNLE,classes,English/Language Arts
recJi2LKNNMCpUNLE,classes,Math
recJoj6zHtOBEncyl,tutoring,English/Language Arts
recJoj6zHtOBEncyl,tutoring,Math
recJt0RyvIHrCiIaT,therapy,Behavioral
recKCfrYzyihV8B0m,therapy,Speech
recKMyOma4gHjjB0x,therapy,Occupational
recKMyOma4gHjjB0x,therapy,Physical
recKMyOma4gHjjB0x,therapy,Behavioral
recKMyOma4gHjjB0x,therapy,Speech
recKN4dJqqi26qyTr,enrichment,Life Skills & Career Prep
recKN4dJqqi26qyTr,enrichment,Neurodivergent-Focused
recKN4dJqqi26qyTr,tutoring,Neurodivergent-Focused
recKN4dJqqi26qyTr,tutoring,English/Language Arts
recKYbQyzrzCFXTGR,tutoring,Math
recKYbQyzrzCFXTGR,tutoring,English/Language Arts
recKo4CR4Eabh9vPh,therapy,Dyslexia/Dsygraphia
recKo4CR4Eabh9vPh,tutoring,English/Language Arts
recL0Z3STunnZgx9H,curriculum,Neurodivergent-Focused
recLPnWuWq6pjUfRE,therapy,Behavioral
recLPnWuWq6pjUfRE,therapy,Speech
recLoGlRJWnakhCMz,tutoring,English/Language Arts
recLoGlRJWnakhCMz,tutoring,Math
recLtpjimgbVwRqms,classes,Montessori
recLtpjimgbVwRqms,classes,English/Language Arts
recLtpjimgbVwRqms,classes,Math
recLtpjimgbVwRqms,classes,Science
recLunUT1SW5cUGyG,therapy,Dyslexia/Dsygraphia
recLvpIWGUjwNX4sR,tutoring,Science
recLvpIWGUjwNX4sR,tutoring,Social Studies/Humanities
recLvpIWGUjwNX4sR,tutoring,Math
recLvpIWGUjwNX4sR,tutoring,English/Language Arts
recM2HJMDYa0VkqPC,tutoring,Math
recM2HJMDYa0VkqPC,tutoring,English/Language Arts
recM2HJMDYa0VkqPC,tutoring,Science
recMGc8NOtHiaKEG2,therapy,Music
recMOD4NPb0rvNuUP,tutoring,Math
recMOD4NPb0rvNuUP,tutoring,English/Language Arts
recMQ3WciWPTGvGgk,enrichment,Kits & Subscriptions
recMQ3WciWPTGvGgk,enrichment,Science & STEM
recMR72sVh9eePZCz,enrichment,Art
recMR72sVh9eePZCz,enrichment,Kits & Subscriptions
recMR72sVh9eePZCz,supplies,Art Supplies
recMRoYZymBRnCX8q,therapy,Behavioral
recMRoYZymBRnCX8q,therapy,Autism Support
recMRoYZymBRnCX8q,therapy,ADHD/Executive Function
recMZT85sjr0HE8yp,tutoring,Math
recMZT85sjr0HE8yp,tutoring,English/Language Arts
