id,name,vendorType,vendorTypes,type,serviceType,description,directPayMarketplace,additionalLocations,subjectsTaught,pricingModel,price,pricingNotes,isProductionReady,curricularClassification,bonusTagsRaw,minGrade,maxGrade,isPreK,isElementary,isMiddle,isHigh,displayGradeRange,costOptions,address_street,address_city,address_state,address_zipcode,address_county,address_region,location_lat,location_lng,contact_website,contact_phone,contact_email,financial_minAnnualTuition,financial_maxAnnualTuition,academics_studentGrowth,academics_attendanceRate,academics_graduationRate,academics_studentTeacherRatio,academics_retentionRate
rec02A3QUWtTH4msz,Childtime Learning Centers,Schools,Schools,Private School,local,"At Dee Dee’s Childcare, we provide a nurturing, environment where children build strong academic foundations while growing socially and emotionally. Our hands-on learning approach encourages curiosity, confidence and a lifeline love of learning in every child. ",,,,,,,True,,,-1,0,True,True,False,False,Grades PreK–K,EFA-Eligible,"9110 Jones Rd, Ste 145",Houston,TX,77065,Harris County,Houston Area,29.9067539,-95.583698,,+16823488433,wrightdeedee12@yahoo.com,1500,1500,0.99,,0.47000000000000003,1,0.99
rec03MGMU2Ggp3mgN,Kids 'R' Kids Of Copperfield,Schools,Schools,Private School,local,,,,,,,,True,,,-1,-1,True,False,False,False,Grades PreK–PreK,EFA-Eligible,15230 Forest Trails Dr,Houston,TX,77095,Harris County,Houston Area,29.8976647,-95.6354812,https://www.kidsrkids.com/copperfield,(281) 550-3060,info@kidsrkidscopperfield.com,,,,,,,
rec040XwIN6rdU09I,Panda Bear Academy 2,Schools,Schools,Private School,local,We are Texas Rising Star 3-star childcare center. We serve ages 0-12 year old.,,,,,,,True,,,-1,0,True,True,False,False,Grades PreK–K,EFA-Eligible,2119 Thompson Rd,Richmond,TX,77469,Fort Bend County,Houston Area,29.56400529999999,-95.7598017,https://www.pandabearacademy.com,+17137842378,pandabear.academy00@gmail.com,11500,12500,0.65,0.78,0.91,4,0.89
rec05fCMHCinpVaog,Lake Country Christian School,Schools,Schools,Private School,local,"Since 1980, Lake Country Christian School has partnered with Christian parents to provide a biblically infused, college-readiness education for PK-4, Kinder Prep, and K–12 students. This education is built on a foundation of robust academics, award-winning athletics, and fine arts programs. STEAM classes begin in PK-4, and students have access to fifteen dual-credit and AP courses, as well as aviation, EDPS, and coding. The school draws students from a wide geographic area and a variety of church backgrounds.",,,,,,,True,,,-1,12,True,True,True,True,Grades PreK–12,EFA-Eligible,7050 Lake Country Dr,Fort Worth,TX,76179,Tarrant County,Dallas-Fort Worth,32.8815073,-97.4274733,https://www.lccs.org,+18172368703,admissions@lccs.org,10380,18920,0.9,0.94,1,14,0.88
rec05zYl59hMQkZEF,Alpha Academy #3,Schools,Schools,Private School,local,,,,,,,,True,,,-1,-1,True,False,False,False,Grades PreK–PreK,EFA-Eligible,4627 Vista Rd,Pasadena,TX,77504,Harris County,Houston Area,29.6588275,-95.17337769999999,https://www.facebook.com/alphaacademytx,(713) 325-2122,yesramirez100@gmail.com,,,,,,,
rec06uxlPbMdRMohy,The Briarwood School,Schools,Schools,Private School,local,,,,,,,,True,,,0,12,False,True,True,True,Grades K–12,EFA-Eligible,12207 Whittington Dr,Houston,TX,77077,Harris County,Houston Area,29.7470496,-95.59564429999999,https://www.briarwoodschool.org,(281) 493-1070,llandi@briarwoodschool.org,,,,,,,
rec08VvPB8VROOQBI,A+ Accredited Learning Center,Schools,Schools,Private School,local,,,,,,,,True,,,-1,-1,True,False,False,False,Grades PreK–PreK,EFA-Eligible,5023 Ivanhoe St,San Antonio,TX,78228,Bexar County,San Antonio Area,29.4603866,-98.58628139999999,,(210) 888-1111,ygonzales050@outlook.com,,,,,,,
rec0AcUbQ2KY2FXv6,"The Tutoring Center, Katy Tx",Tutoring,Tutoring,,local,"Tutoring sessions for kids from Kindergarten to 12th grade. Math, reading, writing programs",,,,,,,True,,Tutoring: Math; Tutoring: English/Language Arts; Tutoring: Social Studies/Humanities; Tutoring: Science,,,,,,,,,"2001 Katy Mills Blvd, Ste F",Katy,TX,77494,Fort Bend County,Houston Area,29.7836369,-95.8060622,https://www.katy.tutoringcenter.com,(213) 723-8883,o.kuanyshbayeva@gmail.com,,,,,,,
rec0B7apVyNdg5RW5,This Little Light Learning Center,Schools,Schools,Private School,local,,,,,,,,True,,,-1,-1,True,False,False,False,Grades PreK–PreK,EFA-Eligible,534 Yates St,"Mount Vernon, Tx",TX,75457,Franklin County,East Texas,33.1844216,-95.2326346,,(903) 767-2721,dcanaday_1@yahoo.com,,,,,,,
rec0Ih6vIYmAEtNd1,Maelee's Learning Academy,Schools,Schools,Private School,local,,,,,,,,True,,,-1,-1,True,False,False,False,Grades PreK–PreK,EFA-Eligible,702 S Texas Blvd,Weslaco,TX,78596,Hidalgo County,Rio Grande Valley,26.1532562,-97.99085749999999,,(956) 447-0144,maeleeslearningacademy@gmail.com,,,,,,,
