id,name,address_formatted,address_city_state_zip,address_street,address_city,address_state,address_zipcode,contact_phone,contact_email,contact_website,tea_school_district_name,tea_school_district_number,tea_county_name,tea_esc_region,address_county,address_region,location_lat,location_lng,vendorType,vendorTypes,type,displayGradeRange,minGrade,maxGrade,isPreK,isElementary,isMiddle,isHigh,costOptions,description,serviceType,subjectsTaught,pricingModel,price,pricingNotes,isProductionReady,curricularClassification,bonusTagsRaw,directPayMarketplace,additionalLocations,financial_minAnnualTuition,financial_maxAnnualTuition,academics_studentGrowth,academics_attendanceRate,academics_graduationRate,academics_studentTeacherRatio,academics_retentionRate
rec02A3QUWtTH4msz,Childtime Learning Centers,"9110 Jones Rd, Ste 145, Houston, TX, 77065","Houston, TX 77065","9110 Jones Rd, Ste 145",Houston,TX,77065,+16823488433,wrightdeedee12@yahoo.com,,Klein ISD,101915,Harris,4,Harris County,Houston Area,29.9067539,-95.583698,Schools,Schools,Private School,Grades PreK–K,-1,0,True,True,False,False,EFA-Eligible,"At Dee Dee’s Childcare, we provide a nurturing, environment where children build strong academic foundations while growing socially and emotionally. Our hands-on learning approach encourages curiosity, confidence and a lifeline love of learning in every child. ",local,,,,,True,,,,,1500,1500,0.99,,0.47000000000000003,1,0.99
rec03MGMU2Ggp3mgN,Kids 'R' Kids Of Copperfield,"15230 Forest Trails Dr, Houston, TX, 77095","Houston, TX 77095",15230 Forest Trails Dr,Houston,TX,77095,(281) 550-3060,info@kidsrkidscopperfield.com,https://www.kidsrkids.com/copperfield,Cypress-Fairbanks ISD,101907,Harris,4,Harris County,Houston Area,29.8976647,-95.6354812,Schools,Schools,Private School,Grades PreK–PreK,-1,-1,True,False,False,False,EFA-Eligible,,local,,,,,True,,,,,,,,,,,
rec040XwIN6rdU09I,Panda Bear Academy 2,"2119 Thompson Rd, Richmond, TX, 77469","Richmond, TX 77469",2119 Thompson Rd,Richmond,TX,77469,+17137842378,pandabear.academy00@gmail.com,https://www.pandabearacademy.com,Lamar Cons ISD,079901,Harris,4,Fort Bend County,Houston Area,29.56400529999999,-95.7598017,Schools,Schools,Private School,Grades PreK–K,-1,0,True,True,False,False,EFA-Eligible,We are Texas Rising Star 3-star childcare center. We serve ages 0-12 year old.,local,,,,,True,,,,,11500,12500,0.65,0.78,0.91,4,0.89
rec05fCMHCinpVaog,Lake Country Christian School,"7050 Lake Country Dr, Fort Worth, TX, 76179","Fort Worth, TX 76179",7050 Lake Country Dr,Fort Worth,TX,76179,+18172368703,admissions@lccs.org,https://www.lccs.org,Eagle Mountain-Saginaw ISD,220918,Tarrant,11,Tarrant County,Dallas-Fort Worth,32.8815073,-97.4274733,Schools,Schools,Private School,Grades PreK–12,-1,12,True,True,True,True,EFA-Eligible,"Since 1980, Lake Country Christian School has partnered with Christian parents to provide a biblically infused, college-readiness education for PK-4, Kinder Prep, and K–12 students. This education is built on a foundation of robust academics, award-winning athletics, and fine arts programs. STEAM classes begin in PK-4, and students have access to fifteen dual-credit and AP courses, as well as aviation, EDPS, and coding. The school draws students from a wide geographic area and a variety of church backgrounds.",local,,,,,True,,,,,10380,18920,0.9,0.94,1,14,0.88
rec05zYl59hMQkZEF,Alpha Academy #3,"4627 Vista Rd, Pasadena, TX, 77504","Pasadena, TX 77504",4627 Vista Rd,Pasadena,TX,77504,(713) 325-2122,yesramirez100@gmail.com,https://www.facebook.com/alphaacademytx,Pasadena ISD,101917,Harris,4,Harris County,Houston Area,29.6588275,-95.17337769999999,Schools,Schools,Private School,Grades PreK–PreK,-1,-1,True,False,False,False,EFA-Eligible,,local,,,,,True,,,,,,,,,,,
rec06uxlPbMdRMohy,The Briarwood School,"12207 Whittington Dr, Houston, TX, 77077","Houston, TX 77077",12207 Whittington Dr,Houston,TX,77077,(281) 493-1070,llandi@briarwoodschool.org,https://www.briarwoodschool.org,Spring Branch ISD,101920,Harris,4,Harris County,Houston Area,29.7470496,-95.59564429999999,Schools,Schools,Private School,Grades K–12,0,12,False,True,True,True,EFA-Eligible,,local,,,,,True,,,,,,,,,,,
rec08VvPB8VROOQBI,A+ Accredited Learning Center,"5023 Ivanhoe St, San Antonio, TX, 78228","San Antonio, TX 78228",5023 Ivanhoe St,San Antonio,TX,78228,(210) 888-1111,ygonzales050@outlook.com,,Northside ISD (Bexar),015915,Bexar,13,Bexar County,San Antonio Area,29.4603866,-98.58628139999999,Schools,Schools,Private School,Grades PreK–PreK,-1,-1,True,False,False,False,EFA-Eligible,,local,,,,,True,,,,,,,,,,,
rec0AcUbQ2KY2FXv6,"The Tutoring Center, Katy Tx","2001 Katy Mills Blvd, Ste F, Katy, TX, 77494","Katy, TX 77494","2001 Katy Mills Blvd, Ste F",Katy,TX,77494,(213) 723-8883,o.kuanyshbayeva@gmail.com,https://www.katy.tutoringcenter.com,Katy ISD,101914,Waller,4,Fort Bend County,Houston Area,29.7836369,-95.8060622,Tutoring,Tutoring,,,,,,,,,,"Tutoring sessions for kids from Kindergarten to 12th grade. Math, reading, writing programs",local,,,,,True,,Tutoring: Math; Tutoring: English/Language Arts; Tutoring: Social Studies/Humanities; Tutoring: Science,,,,,,,,,
rec0B7apVyNdg5RW5,This Little Light Learning Center,"534 Yates St, Mount Vernon, Tx, TX, 75457","Mount Vernon, Tx, TX 75457",534 Yates St,"Mount Vernon, Tx",TX,75457,(903) 767-2721,dcanaday_1@yahoo.com,,Mount Vernon ISD,080901,Franklin,8,Franklin County,East Texas,33.1844216,-95.2326346,Schools,Schools,Private School,Grades PreK–PreK,-1,-1,True,False,False,False,EFA-Eligible,,local,,,,,True,,,,,,,,,,,
rec0Ih6vIYmAEtNd1,Maelee's Learning Academy,"702 S Texas Blvd, Weslaco, TX, 78596","Weslaco, TX 78596",702 S Texas Blvd,Weslaco,TX,78596,(956) 447-0144,maeleeslearningacademy@gmail.com,,Weslaco ISD,108913,Hidalgo,1,Hidalgo County,Rio Grande Valley,26.1532562,-97.99085749999999,Schools,Schools,Private School,Grades PreK–PreK,-1,-1,True,False,False,False,EFA-Eligible,,local,,,,,True,,,,,,,,,,,
rec0KOtPRdDMj1vKt,Multi-Intelligence Kids College,"2235 Thousand Oaks Dr, Ste 115, 118, San Antonio, TX, 78232","San Antonio, TX 78232","2235 Thousand Oaks Dr, Ste 115, 118",San Antonio,TX,78232,(210) 895-2862,sharon@multi-intelligencekidscollege.com,https://www.multi-intelligencekidscollege.com,North East ISD,015910,Bexar,13,Bexar County,San Antonio Area,29.5874288,-98.45165659999999,Schools,Schools,Private School,Grades PreK–K,-1,0,True,True,False,False,EFA-Eligible,,local,,,,,True,,,,,,,,,,,
rec0LBIaWrR9tp3f3,Oakdale Private School,"17100 Butte Creek Rd, Houston, TX, 77090","Houston, TX 77090",17100 Butte Creek Rd,Houston,TX,77090,(281) 444-4547,kwildman@oakdaleprivateschool.com,https://www.oakdaleprivateschool.com,Aldine ISD,101902,Harris,4,Harris County,Houston Area,30.0129152,-95.45691939999999,Schools,Schools,Private School,Grades PreK–PreK,-1,-1,True,False,False,False,EFA-Eligible,,local,,,,,True,,,,,,,,,,,
rec0LFMaeIcVkxL7h,Lena Pope Early Learning Center,"3200 Sanguinet St, Fort Worth, TX, 76107","Fort Worth, TX 76107",3200 Sanguinet St,Fort Worth,TX,76107,(817) 255-2562,mariah.hubbard@lenapope.org,https://lenapope.org/intellectual-well-being/early-learning-centers,Fort Worth ISD,220905,Tarrant,11,Tarrant County,Dallas-Fort Worth,32.7287675,-97.391947,Schools,Schools,Private School,Grades PreK–PreK,-1,-1,True,False,False,False,EFA-Eligible,,local,,,,,True,,,,,,,,,,,
rec0LP3kPSXc8bvWu,Steamspark Montessori Experience,"1400 Valley View Ln, Farmers Branch, TX, 75234","Farmers Branch, TX 75234",1400 Valley View Ln,Farmers Branch,TX,75234,(214) 460-5374,jovan.wells@steamspark.com,https://www.steamspark.com,Carrollton-Farmers Branch ISD,057903,Dallas,11,Dallas County,Dallas-Fort Worth,32.9175262,-96.929575,Schools,Schools,Private School,Grades PreK–6,-1,6,True,True,True,False,EFA-Eligible,,local,,,,,True,,,,,,,,,,,
rec0N5OOsmyfC5WCI,Primrose School Of College Station,"1021 Arrington Rd, College Station, TX, 77845","College Station, TX 77845",1021 Arrington Rd,College Station,TX,77845,(979) 485-9876,hchamblee@primrosecollegestation.com,,Navasota ISD,093904,Brazos,6,Brazos County,Central Texas,30.5633262,-96.265811,Schools,Schools,Private School,Grades PreK–K,-1,0,True,True,False,False,EFA-Eligible,,local,,,,,True,,,,,,,,,,,
rec0QpiOMNxuBfxvF,The Goddard School Of Southlake,"435 W Southlake Blvd, Southlake, TX, 76092","Southlake, TX 76092",435 W Southlake Blvd,Southlake,TX,76092,(214) 724-2746,southlaketx@goddardschools.com,https://www.goddardschool.com/schools/tx/southlake/southlake,Carroll ISD,220919,Tarrant,11,Tarrant County,Dallas-Fort Worth,32.9399239,-97.15631549999999,Schools,Schools,Private School,Grades PreK–K,-1,0,True,True,False,False,EFA-Eligible,"The Goddard School of Southlake is a private preschool offering exceptional care and education for children from infants through Pre-K. Our nationally accredited program combines a strong early learning foundation with an emphasis on curiosity, confidence, and positive behavior, helping children grow into happy, capable learners.",local,,,,,True,,,,,8500,12000,0.93,0.89,0.85,11,0.8
rec0RW85xJyDv86wr,Class101 Of Fulshear,"8046 S Snow Bird Ave, Boise, ID, 83716","Boise, ID 83716",8046 S Snow Bird Ave,Boise,ID,83716,(208) 713-4165,schhabra@my-sylvan.com,https://www.sylvanlearning.com,,,,,Fort Bend County,Houston Area,43.5289749,-116.1015435,Tutoring,Tutoring,,,,,,,,,,"Tutoring Services for K-12 College Prep: SAT/ACT College Planning and Advising: Full College Planning for High School students, SAT/ACT, Essay Writing",local,,,,,True,,Tutoring: Math; Tutoring: English/Language Arts; Tutoring: Social Studies/Humanities; Tutoring: Science,,,,,,,,,
